FX,ex_sec,ex_cost,opt_sec,opt_cost
543,0.05,37,0.08,6
544,0.05,37,0.13,11
545,0.05,40,0.27,17
546,0.05,36,0.08,6
547,0.05,40,0.16,9
548,0.07,41,0.3,17
549,0.05,36,0.26,15
550,0.05,38,0.19,12
551,0.05,38,0.18,10
552,0.08,38,0.41,17
553,0.06,46,0.87,22
554,0.05,40,0.16,9
555,0.05,35,0.34,11
556,0.05,43,0.3,15
557,0.05,39,0.6,17
558,0.05,39,0.2,10
559,0.05,37,0.11,7
560,0.05,33,0.12,10
561,0.05,41,0.16,12
562,0.05,37,0.1,6
563,0.05,43,0.06,4
564,0.05,40,0.31,16
565,0.05,39,0.19,12
566,0.05,36,0.22,12
567,0.05,38,0.09,6
568,0.05,37,0.23,15
569,0.07,41,0.48,17
570,0.05,38,0.18,10
571,0.05,35,0.11,7
572,0.05,36,0.19,12
573,0.05,38,0.65,15
574,0.06,35,0.22,10
575,0.06,36,0.1,6
576,0.07,36,0.18,12
577,0.09,39,0.26,16
578,0.05,34,0.11,10
579,0.05,36,0.16,11
580,0.05,37,0.11,10
581,0.05,34,0.15,11
582,0.05,37,0.07,6
583,0.05,37,0.18,9
584,0.07,42,0.22,16
585,0.07,41,0.97,22
586,0.05,39,0.16,11
587,0.07,40,0.67,15
588,0.05,39,0.16,11
589,0.06,39,0.6,15
590,0.05,32,0.17,9
591,0.05,39,0.08,6
592,0.05,35,0.11,10
593,0.05,38,0.15,11
594,0.05,35,0.07,6
595,0.05,37,0.15,9
596,0.05,37,0.17,12
597,0.05,42,0.09,6
598,0.06,34,0.18,9
599,0.05,39,0.08,6
600,0.09,40,0.4,15
601,0.05,39,0.44,17
602,0.05,36,0.19,10
603,0.05,35,0.43,11
604,0.05,39,0.18,12
605,0.05,40,0.14,10
606,0.05,37,0.22,10
607,0.05,37,0.07,6
608,0.06,38,0.24,16
609,0.09,44,0.94,22
610,0.05,35,0.21,11
611,0.05,37,0.57,15
612,0.06,42,0.37,15
613,0.06,39,0.57,17
614,0.08,42,0.22,10
615,0.06,38,0.44,11
616,0.09,43,1.36,22
617,0.23,40,4.51,27
618,0.07,42,0.82,15
619,0.1,41,2.92,17
620,0.07,38,0.82,17
621,0.1,42,2.68,20
622,0.08,38,0.56,11
623,0.08,38,0.25,9
624,0.08,36,0.28,11
625,0.09,41,0.79,15
626,0.07,35,0.28,9
627,0.07,38,0.15,6
628,0.08,39,0.36,12
629,0.08,38,0.2,10
630,0.08,40,0.33,10
631,0.08,39,0.11,6
632,0.09,42,0.75,17
633,0.12,39,3.14,20
634,0.08,33,0.66,11
635,0.08,36,0.3,9
636,0.12,38,0.86,15
637,0.08,41,0.32,12
638,0.09,40,0.83,11
639,0.08,38,0.2,7
640,0.08,40,0.21,12
641,0.08,35,0.44,17
642,0.08,32,0.19,10
643,0.08,36,0.3,12
644,0.09,39,0.67,17
645,0.07,38,0.68,16
646,0.08,39,0.37,15
647,0.08,41,0.37,12
648,0.07,33,0.18,10
649,0.11,40,0.53,15
650,0.08,35,0.14,6
651,0.08,36,0.38,10
652,0.09,40,0.34,12
653,0.08,37,0.37,12
654,0.08,37,0.3,10
655,0.08,38,0.14,6
656,0.1,41,0.49,17
657,0.08,35,0.39,16
658,0.08,35,0.39,15
659,0.08,39,0.36,12
660,0.18,42,1.32,23
661,0.11,41,0.77,18
662,0.08,39,1.95,21
663,0.1,40,1.21,16
664,0.09,42,0.39,16
665,0.09,38,0.32,12
666,0.08,39,0.34,12
667,0.08,36,0.3,10
668,0.1,43,0.75,18
669,0.08,42,0.78,15
670,0.08,34,1.06,16
671,0.07,40,0.36,10
672,0.08,33,0.18,10
673,0.1,42,0.64,15
674,0.07,36,0.11,6
675,0.08,40,0.29,10
676,0.11,39,0.45,16
677,0.08,36,0.4,12
678,0.07,36,0.32,12
679,0.07,37,0.33,10
680,0.08,42,0.29,12
681,0.09,40,0.82,17
682,0.08,39,0.11,4
683,0.07,42,0.18,7
684,0.08,36,0.34,12
685,0.08,42,0.96,15
686,0.07,40,0.13,6
687,0.07,37,0.12,6
688,0.08,40,0.4,12
689,0.08,39,0.29,12
690,0.08,42,0.34,10
691,0.07,35,0.15,6
692,0.11,39,0.65,18
693,0.08,37,0.82,15
694,0.08,39,1.15,16
695,0.07,36,0.28,10
696,0.07,37,0.31,12
697,0.08,36,1,15
698,0.08,35,0.16,6
699,0.08,37,0.12,6
700,0.1,39,1.42,15
701,0.08,35,1.39,16
702,0.08,37,0.31,10
703,0.07,38,0.28,8
704,0.07,35,0.18,10
705,0.08,35,0.41,15
706,0.07,37,0.12,6
707,0.07,35,0.28,10
708,0.08,40,0.32,12
709,0.08,43,0.31,12
710,0.08,40,0.27,9
711,0.07,36,0.32,10
712,0.09,42,0.23,11
713,0.12,40,0.85,17
714,0.07,35,0.28,9
715,0.08,39,0.56,11
716,0.07,37,0.12,6
717,0.07,38,0.2,10
718,0.08,32,0.11,6
719,0.07,41,0.11,6
