FX,ex_sec,ex_cost,opt_sec,opt_cost
19399,0.38,nan,0.13,nan
19400,0.35,nan,0.1,nan
19401,0.33,nan,0.06,nan
19402,0.13,13,0.1,11
19403,0.13,14,0.15,11
19404,0.12,11,0.08,11
19405,0.25,nan,0.05,nan
19406,0.06,13,0.06,8
19407,0.05,12,0.05,8
19408,0.24,nan,0.06,nan
19409,0.33,nan,0.08,nan
19410,0.25,nan,0.09,nan
19411,0.27,nan,0.12,nan
19412,0.26,nan,0.08,nan
19413,0.51,nan,0.12,nan
19414,0.21,nan,0.12,nan
19415,0.38,nan,0.1,nan
19416,0.4,nan,0.08,nan
19417,0.61,nan,0.08,nan
19418,0.46,nan,0.1,nan
19419,0.57,nan,0.14,nan
19420,0.34,nan,0.07,nan
19421,0.42,nan,0.11,nan
19422,0.43,nan,0.1,nan
19423,0.52,nan,0.14,nan
19424,0.23,nan,0.07,nan
19425,0.16,nan,0.07,nan
19426,0.34,nan,0.05,nan
19427,0.17,nan,0.07,nan
19428,0.15,nan,0.09,nan
19429,0.33,nan,0.07,nan
19430,0.27,nan,0.1,nan
19431,0.18,nan,0.09,nan
19432,0.33,nan,0.07,nan
19433,0.34,nan,0.05,nan
19434,0.03,14,0.08,9
19435,0.06,11,0.08,10
19436,0.47,nan,0.08,nan
19437,0.29,nan,0.08,nan
19438,0.35,13,0.26,12
19439,0.16,13,0.08,10
19440,0.15,13,0.12,11
19441,0.2,nan,0.05,nan
19442,0.35,nan,0.08,nan
19443,0.08,14,0.05,8
19444,0.37,nan,0.13,nan
19445,0.41,nan,0.08,nan
19446,0.27,nan,0.1,nan
19447,0.4,nan,0.1,nan
19448,0.3,nan,0.12,nan
19449,0.45,nan,0.06,nan
19450,0.06,12,0.06,8
19451,0.03,13,0.09,9
19452,0.39,nan,0.17,nan
19453,0.29,nan,0.13,nan
19454,0.42,nan,0.18,nan
19455,0.12,14,0.23,12
19456,0.03,11,0.05,6
19457,0.16,nan,0.03,nan
19458,0.08,13,0.05,11
19459,0.05,14,0.05,9
19460,0.22,nan,0.09,nan
19461,0.37,nan,0.04,nan
19462,0.1,nan,0.04,nan
19463,0.18,nan,0.08,nan
19464,0.05,13,0.04,6
19465,0.14,nan,0.04,nan
19466,0.07,12,0.04,8
19467,0.33,nan,0.16,nan
19468,0.03,14,0.03,4
19469,0.2,nan,0.04,nan
19470,0.03,11,0.04,6
19471,0.03,14,0.02,6
19472,0.04,13,0.05,11
19473,0.07,12,0.06,9
19474,0.12,nan,0.06,nan
19475,0.03,13,0.06,8
19476,0.13,nan,0.05,nan
19477,0.27,nan,0.08,nan
19478,0.25,nan,0.05,nan
19479,0.27,nan,0.05,nan
19480,0.19,nan,0.06,nan
19481,0.15,nan,0.05,nan
19482,0.16,nan,0.05,nan
19483,0.27,nan,0.09,nan
19484,0.1,nan,0.05,nan
19485,0.26,nan,0.06,nan
19486,0.31,nan,0.05,nan
19487,0.25,nan,0.05,nan
19488,0.15,13,0.05,11
19489,0.2,nan,0.04,nan
19490,0.03,12,0.05,9
19491,0.08,12,0.07,10
19492,0.09,nan,0.04,nan
19493,0.23,nan,0.05,nan
19494,0.25,nan,0.06,nan
19495,0.31,nan,0.09,nan
19496,0.28,nan,0.06,nan
19497,0.19,nan,0.05,nan
19498,0.15,14,0.11,11
19499,0.22,nan,0.08,nan
19500,0.05,13,0.05,8
19501,0.1,nan,0.05,nan
19502,0.09,11,0.05,8
19503,0.03,12,0.07,9
19504,0.05,12,0.06,9
19505,0.04,14,0.1,10
19506,0.08,12,0.13,11
19507,0.07,13,0.06,8
19508,0.39,nan,0.12,nan
19509,0.45,nan,0.07,nan
19510,0.24,nan,0.09,nan
19511,0.28,nan,0.11,nan
19512,0.08,14,0.07,8
19513,0.25,nan,0.09,nan
19514,0.14,13,0.1,11
19515,0.06,10,0.07,8
19516,0.04,11,0.07,8
19517,0.32,nan,0.06,nan
19518,0.16,14,0.1,11
19519,0.04,13,0.04,6
19520,0.08,12,0.05,6
19521,0.22,nan,0.04,nan
19522,0.22,nan,0.05,nan
19523,0.24,nan,0.08,nan
19524,0.03,10,0.03,4
19525,0.23,nan,0.06,nan
19526,0.24,nan,0.05,nan
19527,0.58,nan,0.14,nan
19528,0.4,nan,0.09,nan
19529,0.2,nan,0.05,nan
19530,0.46,nan,0.13,nan
19531,0.44,nan,0.13,nan
19532,0.03,13,0.03,4
19533,0.32,nan,0.04,nan
19534,0.04,11,0.04,6
19535,0.04,14,0.07,8
19536,0.04,13,0.04,8
19537,0.3,nan,0.07,nan
19538,0.22,nan,0.05,nan
19539,0.57,nan,0.07,nan
19540,0.07,12,0.04,6
19541,0.03,15,0.03,6
19542,0.16,nan,0.04,nan
19543,0.32,nan,0.1,nan
19544,0.22,nan,0.15,nan
19545,0.21,nan,0.08,nan
19546,0.38,nan,0.08,nan
19547,0.26,nan,0.13,nan
19548,0.05,13,0.03,6
19549,0.03,14,0.05,8
19550,0.28,nan,0.08,nan
19551,0.03,17,0.04,6
19552,0.16,nan,0.04,nan
19553,0.27,nan,0.04,nan
19554,0.17,12,0.05,8
19555,0.16,nan,0.08,nan
19556,0.05,11,0.05,8
19557,0.22,nan,0.04,nan
19558,0.04,13,0.05,8
19559,0.34,nan,0.11,nan
19560,0.14,nan,0.06,nan
19561,0.31,nan,0.05,nan
19562,0.3,nan,0.12,nan
19563,0.35,nan,0.11,nan
19564,0.05,14,0.06,9
19565,0.25,nan,0.05,nan
19566,0.03,12,0.06,8
19567,0.06,12,0.09,10
19568,0.08,13,0.12,11
19569,0.23,nan,0.06,nan
19570,0.17,13,0.07,11
19571,0.06,13,0.07,8
19572,0.03,11,0.04,8
19573,0.07,12,0.07,9
19574,0.06,13,0.1,11
19575,0.04,14,0.04,6
19576,0.41,nan,0.08,nan
19577,0.41,nan,0.08,nan
19578,0.42,nan,0.08,nan
19579,0.37,nan,0.19,nan
19580,0.05,15,0.06,8
19581,0.05,12,0.09,10
19582,0.09,12,0.07,9
19583,0.05,12,0.04,6
19584,0.14,nan,0.04,nan
19585,0.11,nan,0.07,nan
19586,0.12,nan,0.04,nan
19587,0.3,nan,0.08,nan
19588,0.13,nan,0.04,nan
19589,0.2,nan,0.06,nan
19590,0.12,nan,0.06,nan
19591,0.15,nan,0.07,nan
19592,0.24,nan,0.08,nan
19593,0.14,nan,0.04,nan
19594,0.22,nan,0.07,nan
19595,0.39,nan,0.11,nan
19596,0.03,13,0.03,6
19597,0.16,nan,0.04,nan
19598,0.11,14,0.09,13
19599,0.25,nan,0.12,nan
19600,0.12,nan,0.04,nan
19601,0.2,nan,0.03,nan
19602,0.27,nan,0.08,nan
19603,0.35,nan,0.08,nan
19604,0.13,nan,0.06,nan
19605,0.23,nan,0.11,nan
19606,0.16,nan,0.06,nan
19607,0.28,nan,0.05,nan
19608,0.21,nan,0.04,nan
19609,0.14,nan,0.08,nan
19610,0.23,nan,0.06,nan
19611,0.37,nan,0.09,nan
19612,0.16,nan,0.06,nan
19613,0.29,nan,0.05,nan
19614,0.24,nan,0.04,nan
19615,0.39,nan,0.06,nan
19616,0.06,12,0.05,9
19617,0.21,nan,0.04,nan
19618,0.17,14,0.09,13
19619,0.17,nan,0.09,nan
19620,0.36,nan,0.09,nan
19621,0.38,nan,0.05,nan
19622,0.23,nan,0.1,nan
19623,0.32,nan,0.11,nan
19624,0.34,nan,0.08,nan
19625,0.13,nan,0.04,nan
19626,0.05,12,0.06,8
19627,0.34,nan,0.11,nan
19628,0.06,11,0.04,8
19629,0.09,nan,0.05,nan
19630,0.04,14,0.03,6
19631,0.05,12,0.1,10
19632,0.08,13,0.1,13
19633,0.16,nan,0.06,nan
19634,0.21,nan,0.1,nan
19635,0.07,14,0.12,11
19636,0.31,nan,0.06,nan
